Index,,,,"Code: EA043 Descent: major type (0=NonFemale Based, 1=Female Based)","Code: EA012 Marital residence with kin: prevailing pattern (0=non female based, 1=Female based)","Code: EA015 Community marriage organization (1=Exogamous, 2=Agamous, 3=Endogamous)",pop_name,language,ID,phoible_id,phoible_id_preferred,ruhlen_id,ruhlen_id_preferred,longitude,latitude
1,Blin,Ca37,xd445,NA,0,1,Aari,Aari,Aari,,,1480,1480,36,5
2,Abkhaz,Ci12,xd577,0,0,1,Abkhasian,Abkhaz,Abkhasian,,,1602,1602,41,43
3,Cherkess,Ci4,xd580,0,0,2,Adygei,Adyghe,Adygei,2349,2349,1605,1605,40,45
4,Bako,Ca23,xd430,0,0,NA,Agaw,Awgni,Agaw,,,1515,1515,37,11
5,Gheg,Ce1,xd528,0,0,1,Albanian,Albanian,Albanian,,,1789;1790,1789,20,41
6,Aleut,Na9,xd1067,0,0,2,Aleut,Aleut,Aleut,,,2008,2008,-158,56
7,Amhara,Ca7,xd455,0,0,1,Amhara,Amharic,Amhara,,,1584,1584,38,11
8,Ami,Ia9,xd749,1,1,3,Ami,Amis,Ami,,,2605,2605,121,23
9,Armenians,Ci10,xd575,0,0,2,Armenian,Armenian,Armenian,,,1654,1654,45,40
10,Bengali,Ef2,xd664,0,0,3,Bengali,Bengali,BEB,177;250;1711;2162;2624,1711,1721;1722,1722,90,24
11,,,,,,,Bakola,Kele,Bakola,,,815,815,10,-1
12,Marri,Ea10,xd597,0,0,1,Balochi,Balochi,Balochi,2498;2545,2545,1771,1771,63,27
13,Zulu,Ab12,xd13,0,0,1,BantuSouthAfrica,Zulu,BantuSouthAfrica,147;647,147,1161,1161,31,-28
14,Spanish Basques,Ce8,xd535,0,0,2,Basque,Basque,Basque,179;321;2161;2340;2419;2583;2615,2161,1600,1600,-2,43
15,Rwala,Cj2,xd588,0,0,2,Bedouin,Arabic,Bedouin,2157;2607,2157,1564,1564,36,29
16,Tikar,Ae58,xd180,0,0,NA,Bedzan,Tikar,Bedzan,,,770,770,12,6
17,,,,,,,Biaka,Aka,Biaka,1511,1511,862,862,17,3
18,,,,,,,Bougainville,Naasioi,Bougainville,60;483,60,4348,4348,115,-6
19,,,,,,,Brahmin,Hindi,Brahmin,,,1703;1704;1705,1704,80,27
20,,,,,,,Brahui,Brahui,Brahui,261;2290;2377,2290,2021,2021,67,30
