"pop_name","language","ID","genetic_sample_count","phoible_id","phoible_id_preferred","ruhlen_id","ruhlen_id_preferred","longitude","latitude","Genetic_population","Genetic_continent","Genetic_country","Genetic_longitude","Genetic_latitiude","genetic_linguistic_geodist","new_sample_count","EA_name","EA_code","dplace_code","Code..EA043.Descent..major.type..0.NonFemale.Based..1.Female.Based.","Code..EA012.Marital.residence.with.kin..prevailing.pattern..0.non.female.based..1.Female.based.","Code..EA015.Community.marriage.organization..1.Exogamous..2.Agamous..3.Endogamous."
"Aari","Aari","Aari",2,,"NA","1480",1480,36,5,"Aari","Africa","Ethiopia",36.5,5.8,104.389485586659,2,"Blin","Ca37","xd445","NA",0,1
"Abkhasian","Abkhaz","Abkhasian",2,,"NA","1602",1602,41,43,"Abkhasian","WestEurasia","Abkhazia",41.015,43.003,1.26767927930977,2,"Abkhaz","Ci12","xd577",0,0,1
"Adygei","Adyghe","Adygei",16,"2349",2349,"1605",1605,40,45,"Adygei","WestEurasia","Russia(Caucasus)",39,44,136.646793982096,16,"Cherkess","Ci4","xd580",0,0,2
"Agaw","Awgni","Agaw",2,,"NA","1515",1515,37,11,"Agaw","Africa","Ethiopia",36.9,11,10.9287556816223,2,"Bako","Ca23","xd430",0,0,"NA"
"Albanian","Albanian","Albanian",2,,"NA","1789;1790",1789,20,41,"Albanian","WestEurasia","Albania",19.8,41.3,37.3080141930493,1,"Gheg","Ce1","xd528",0,0,1
"Aleut","Aleut","Aleut",2,,"NA","2008",2008,-158,56,"Aleut","CentralAsiaSiberia","Russia",166,55.18,2245.92552371053,2,"Aleut","Na9","xd1067",0,0,2
"Amhara","Amharic","Amhara",2,,"NA","1584",1584,38,11,"Amhara","Africa","Ethiopia",39.7,9.7,235.242991050333,2,"Amhara","Ca7","xd455",0,0,1
"Ami","Amis","Ami",2,,"NA","2605",2605,121,23,"Ami","EastAsia","Taiwan",121.185356,22.843145,25.7541010217254,2,"Ami","Ia9","xd749",1,1,3
"Armenian","Armenian","Armenian",2,,"NA","1654",1654,45,40,"Armenian","WestEurasia","Armenia",46.752,39.815,151.210798300818,2,"Armenians","Ci10","xd575",0,0,2
"Bakola","Kele","Bakola",2,,"NA","815",815,10,-1,"Bakola","Africa","Cameroon",10.6,3.1,458.247996782376,2,,,,"NA","NA","NA"
"Balochi","Balochi","Balochi",24,"2498;2545",2545,"1771",1771,63,27,"Balochi","SouthAsia","Pakistan",66.5,30.5,516.973467963366,24,"Marri","Ea10","xd597",0,0,1
"BantuSouthAfrica","Zulu","BantuSouthAfrica",11,"147;647",147,"1161",1161,31,-28,"BantuSouthAfricaHGDP","Africa","South Africa",24.25,-25.6,721.759231281854,8,"Zulu","Ab12","xd13",0,0,1
"Basque","Basque","Basque",23,"179;321;2161;2340;2419;2583;2615",2161,"1600",1600,-2,43,"Basque","WestEurasia","France",0,43,163.078084267491,23,"Spanish Basques","Ce8","xd535",0,0,2
"Bengali","Bengali","BEB",131,"177;250;1711;2162;2624",1711,"1721;1722",1722,90,24,"Bengali","SouthAsia","Bangladesh",90.4,23.7,52.5774966685789,101,"Bengali","Ef2","xd664",0,0,3
"Bedouin","Arabic","Bedouin",46,"2157;2607",2157,"1564",1564,36,29,"BedouinB","WestEurasia","Israel(Negev)",35,31,241.78659887856,46,"Rwala","Cj2","xd588",0,0,2
"Bedzan","Tikar","Bedzan",2,,"NA","770",770,12,6,"Bedzan","Africa","Cameroon",11.3,5.3,109.570930203331,2,"Tikar","Ae58","xd180",0,0,"NA"
"Biaka","Aka","Biaka",24,"1511",1511,"862",862,17,3,"Biaka","Africa","Central African Republic",17,4,110.578442081613,24,,,,"NA","NA","NA"
"Bougainville","Naasioi","Bougainville",11,"60;483",60,"4348",4348,155,-6,"Bougainville","Oceania","PapuaNewGuinea",155,-6,0,11,,,,"NA","NA","NA"
"Brahmin","Hindi","Brahmin",2,,"NA","1703;1704;1705",1704,80,27,"Brahmin","SouthAsia","India",83.3,17.7,1084.32272166463,2,,,,"NA","NA","NA"
"Brahui","Brahui","Brahui",25,"261;2290;2377",2290,"2021",2021,67,30,"Brahui","SouthAsia","Pakistan",66.5,30.5,73.4027975452983,25,,,,"NA","NA","NA"
"Bulala","Bagirmi","Bulala",2,,"NA","1286",1286,17,13,"Bulala","Africa","Chad",17.4,12.9,44.7903171257789,2,"Bagirmi","Ai21","xd350",0,0,"NA"
